user_id,n_skills,n_mastered_in_path,pct_wasted
78340,5,3,60.0
78341,5,3,60.0
78344,1,0,0.0
78345,6,4,66.66666666666666
78351,4,2,50.0
78352,2,1,50.0
78353,1,1,100.0
78356,12,8,66.66666666666666
78357,12,8,66.66666666666666
78358,11,8,72.72727272727273
78360,11,9,81.81818181818183
78361,10,8,80.0
78362,9,8,88.88888888888889
78363,11,7,63.63636363636363
78365,13,5,38.46153846153847
78366,11,7,63.63636363636363
78367,13,11,84.61538461538461
78368,13,9,69.23076923076923
78369,12,8,66.66666666666666
78370,10,7,70.0
78371,13,12,92.3076923076923
78373,13,10,76.92307692307693
78385,23,15,65.21739130434783
78389,2,2,100.0
78391,2,1,50.0
78392,2,1,50.0
78394,2,1,50.0
78397,2,1,50.0
78398,2,0,0.0
78401,1,0,0.0
78405,2,1,50.0
78406,2,1,50.0
78409,2,0,0.0
78411,17,11,64.70588235294117
78412,15,12,80.0
78413,17,14,82.35294117647058
78414,17,9,52.94117647058824
78415,15,11,73.33333333333333
78417,13,9,69.23076923076923
78418,19,15,78.94736842105263
78419,1,1,100.0
78423,13,10,76.92307692307693
78446,18,13,72.22222222222221
78447,25,20,80.0
78449,26,20,76.92307692307693
78450,26,20,76.92307692307693
78452,26,21,80.76923076923077
78453,22,18,81.81818181818183
78454,27,20,74.07407407407408
78455,27,20,74.07407407407408
78456,26,22,84.61538461538461
78457,19,14,73.68421052631578
78458,26,20,76.92307692307693
78459,22,17,77.27272727272727
78460,14,11,78.57142857142857
78461,21,17,80.95238095238095
78462,16,12,75.0
78463,17,12,70.58823529411765
78492,7,7,100.0
78493,8,6,75.0
78494,7,7,100.0
78495,8,7,87.5
78498,8,8,100.0
78499,15,10,66.66666666666666
78500,7,7,100.0
78501,6,4,66.66666666666666
78503,9,7,77.77777777777779
78504,15,12,80.0
78508,12,8,66.66666666666666
78509,12,9,75.0
78510,12,8,66.66666666666666
78512,8,8,100.0
78513,10,9,90.0
78514,9,8,88.88888888888889
78515,8,8,100.0
78516,9,7,77.77777777777779
78517,8,7,87.5
78518,8,7,87.5
78519,10,8,80.0
78520,8,7,87.5
78521,9,7,77.77777777777779
78522,10,8,80.0
78523,9,8,88.88888888888889
78524,9,7,77.77777777777779
78527,3,0,0.0
78528,8,6,75.0
78531,8,8,100.0
78532,7,5,71.42857142857143
